occ_code,title,observed_exposure,indonesia_usage_pct,n_tasks,quad
39-9011,Childcare Workers,0.0122,0.0942872989462007,1,low_low
39-9041,Residential Advisors,0.067,0.0,0,low_low
41-1011,First-Line Supervisors of Retail Sales Workers,0.2627,0.0,0,high_low
41-1012,First-Line Supervisors of Non-Retail Sales Workers,0.2295,0.0,0,high_low
41-2011,Cashiers,0.0846,0.3105934553521908,1,low_high
41-2021,Counter and Rental Clerks,0.2048,0.0,0,high_low
41-2031,Retail Salespersons,0.3222,0.0,0,high_low
41-3011,Advertising Sales Agents,0.1482,0.0,0,high_low
41-3021,Insurance Sales Agents,0.3188,0.0,0,high_low
41-3031,"Securities, Commodities, and Financial Services Sales Agents",0.4413,0.0,0,high_low
41-3041,Travel Agents,0.4054,0.0,0,high_low
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.2706,0.160843039378813,1,high_low
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6279,0.0,0,high_low
41-9011,Demonstrators and Product Promoters,0.0788,0.0,0,low_low
41-9021,Real Estate Brokers,0.2609,0.0,0,high_low
41-9022,Real Estate Sales Agents,0.2828,0.0,0,high_low
41-9031,Sales Engineers,0.3224,0.0,0,high_low
41-9041,Telemarketers,0.2852,0.0,0,high_low
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.1758,0.0,0,high_low
43-1011,First-Line Supervisors of Office and Administrative Support Workers,0.1856,0.0,0,high_low
43-2011,"Switchboard Operators, Including Answering Service",0.3863,0.0,0,high_low
43-3011,Bill and Account Collectors,0.2989,0.0,0,high_low
43-3021,Billing and Posting Clerks,0.1924,0.0,0,high_low
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",0.3104,0.1164725457570715,1,high_low
43-3041,Gambling Cage Workers,0.0653,0.0,0,low_low
43-3051,Payroll and Timekeeping Clerks,0.0487,0.0,0,low_low
43-3061,Procurement Clerks,0.2436,0.0,0,high_low
43-3071,Tellers,0.0231,0.0,0,low_low
43-4011,Brokerage Clerks,0.1744,0.0,0,high_low
43-4021,Correspondence Clerks,0.2786,0.1331114808652246,1,high_low
43-4031,"Court, Municipal, and License Clerks",0.102,0.0,0,low_low
43-4041,"Credit Authorizers, Checkers, and Clerks",0.1296,0.0,0,high_low
43-4051,Customer Service Representatives,0.7011,0.0,0,high_low
43-4061,"Eligibility Interviewers, Government Programs",0.0597,0.0,0,low_low
43-4071,File Clerks,0.1568,0.0,0,high_low
43-4081,"Hotel, Motel, and Resort Desk Clerks",0.1725,0.0,0,high_low
43-4111,"Interviewers, Except Eligibility and Loan",0.3851,0.0,0,high_low
43-4121,"Library Assistants, Clerical",0.0978,0.1053799223516361,1,low_low
43-4131,Loan Interviewers and Clerks,0.2022,0.0,0,high_low
43-4151,Order Clerks,0.0748,0.0,0,low_low
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",0.4046,0.0,0,high_low
43-4171,Receptionists and Information Clerks,0.4338,0.0,0,high_low
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,0.2467,0.0,0,high_low
43-5011,Cargo and Freight Agents,0.0165,0.0,0,low_low
43-5021,Couriers and Messengers,0.0412,0.0,0,low_low
43-5031,Public Safety Telecommunicators,0.0465,0.0,0,low_low
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",0.2258,0.0,0,high_low
43-5061,"Production, Planning, and Expediting Clerks",0.0934,0.0,0,low_low
43-6011,Executive Secretaries and Executive Administrative Assistants,0.2336,0.0,0,high_low
43-6013,Medical Secretaries and Administrative Assistants,0.3623,0.0,0,high_low
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.4528,0.4603438713255684,3,high_high
43-9021,Data Entry Keyers,0.6707,0.0,0,high_low
43-9022,Word Processors and Typists,0.2385,0.3216860787576261,1,high_high
43-9031,Desktop Publishers,0.464,0.0,0,high_low
43-9041,Insurance Claims and Policy Processing Clerks,0.1467,0.0,0,high_low
43-9061,"Office Clerks, General",0.4504,0.4825291181364393,1,high_high
43-9071,"Office Machine Operators, Except Computer",0.0239,0.0,0,low_low
43-9081,Proofreaders and Copy Markers,0.1781,0.0,0,high_low
43-9111,Statistical Assistants,0.5099,1.2811980033277868,3,high_high
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.0203,0.2218524681087077,1,low_high
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,0.0296,0.0,0,low_low
47-2061,Construction Laborers,0.0281,0.0,0,low_low
47-2132,"Insulation Workers, Mechanical",0.0439,0.0,0,low_low
47-2152,"Plumbers, Pipefitters, and Steamfitters",0.0116,0.0,0,low_low
47-2181,Roofers,0.0157,0.0,0,low_low
47-2221,Structural Iron and Steel Workers,0.0491,0.0,0,low_low
47-4011,Construction and Building Inspectors,0.0481,0.0,0,low_low
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.1015,0.0,0,low_low
49-2011,"Computer, Automated Teller, and Office Machine Repairers",0.1067,0.1164725457570715,1,low_low
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.0333,0.0,0,low_low
49-2098,Security and Fire Alarm Systems Installers,0.0303,0.0,0,low_low
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.0191,0.0,0,low_low
49-9041,Industrial Machinery Mechanics,0.0239,0.0,0,low_low
49-9061,Camera and Photographic Equipment Repairers,0.0412,0.0,0,low_low
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0.0494,0.0,0,low_low
51-2061,Timing Device Assemblers and Adjusters,0.0392,0.0,0,low_low
51-5111,Prepress Technicians and Workers,0.1018,0.0,0,low_low
51-6052,"Tailors, Dressmakers, and Custom Sewers",0.0342,0.0942872989462007,1,low_low
